SCHOOLID,SCHSIZE,RATCMP15,PROPQUAL,PROPCERT,SMRATIO,RESPCUR,maths,read,scie
0000176,1306.0,1.153,1.0,1.0,174.133,1.44,503.80510999999996,517.7971175,534.6131724999999
0000177,1380.0,0.634,,,172.5,1.44,452.8259864,448.005472,450.1230872
0000178,754.0,1.155,1.0,1.0,94.25,-0.67,493.9750517241379,525.6948144827586,494.81858482758616
0000179,912.0,0.636,1.0,1.0,114.0,1.44,478.5338936363636,484.7320245454545,513.5753281818181
0000180,919.0,1.302,1.0,1.0,131.286,-0.43,509.69465519999994,514.5843439999999,506.34092
0000181,358.0,0.441,0.946,0.946,71.6,1.44,541.0128592307692,524.9116307692308,564.3072346153847
0000182,636.0,0.653,1.0,0.978,127.2,-0.67,408.29636434782606,397.73539739130445,383.8736373913043
0000183,914.0,1.629,1.0,1.0,152.333,1.44,467.7815856000001,484.3107736,517.0831784
0000184,1219.0,0.557,1.0,1.0,162.533,1.44,427.73861,445.65279499999997,493.70415166666663
0000185,826.0,0.811,1.0,1.0,91.778,1.44,535.9522127272728,565.89198,556.8908018181819
0000186,666.0,0.541,1.0,1.0,133.2,1.44,440.6798408695652,455.4742556521739,483.7957904347826
0000187,1128.0,0.913,0.0,0.942,102.545,-0.43,433.0404045454546,450.6551727272728,463.55582636363636
0000188,1404.0,,0.031,0.031,112.32,1.44,473.4599271428571,456.8775771428571,506.52142000000003
0000189,1977.0,1.066,0.926,0.926,131.8,1.44,544.9275608,530.2681384,561.5031759999999
0000190,1071.0,2.33,1.0,1.0,119.0,1.44,530.119285,537.0793799999999,545.5460357142857
0000191,888.0,1.667,1.0,0.958,126.857,1.44,512.4012435714286,525.560307857143,523.9223121428571
0000192,1479.0,0.869,1.0,1.0,164.333,1.44,460.20054,462.30573999999996,479.2004381818182
0000193,900.0,1.236,1.0,1.0,150.0,0.03,534.7873484615386,530.0770084615385,552.1777123076923
0000194,1123.0,0.489,1.0,0.962,72.452,1.44,588.6779713043479,590.1068704347826,598.4593660869565
0000195,762.0,2.228,1.0,1.0,127.0,1.44,469.87645652173916,445.25380695652166,476.1007426086956
0000196,902.0,0.899,,,128.857,1.44,619.4662085714286,634.7229735714286,619.6455185714286
0000197,1162.0,2.073,,,145.25,-0.43,559.1839644444445,584.9550229629631,603.0184977777777
0000198,1047.0,0.726,,,139.6,1.44,498.20425230769234,531.6404123076924,533.9941976923077
0000199,742.0,2.113,1.0,0.944,92.75,-0.43,518.99656,489.7403288888889,537.6718192592591
0000200,847.0,2.091,0.969,1.0,282.333,1.44,451.85174636363644,461.5427163636364,472.76202909090915
0000201,752.0,0.387,1.0,1.0,167.111,1.44,461.0349458333333,484.00994666666674,495.44868083333324
0000202,712.0,1.392,1.0,0.955,203.429,1.44,653.0586246666667,640.0325626666666,653.8449573333334
0000203,841.0,0.595,1.0,1.0,73.13,0.03,472.45647777777776,485.3968081481482,506.81337851851856
0000204,852.0,0.82,1.0,1.0,142.0,0.03,588.5924607142857,604.362075,607.6630521428572
